invoice_id,vendor,true_amount,po,correct_decision,fraud_risk,scenario,Agent Vendor,Agent Amt,Agent Decision,Agent Fraud,Agent Conf %,Reasons
INV-101,Orion Telecom,2100,PO-2001,AUTO-CLEAR,No,clean recurring,Orion Telecom,2100,AUTO-CLEAR,No,100,
INV-102,Coastal Catering,3500,PO-2002,AUTO-CLEAR,No,clean recurring,Coastal Catering,3500,AUTO-CLEAR,No,100,
INV-103,Greenleaf Landscaping,1800,PO-2003,AUTO-CLEAR,No,clean recurring,Greenleaf Landscaping,1800,AUTO-CLEAR,No,100,
INV-104,Acme Steel Co,9600,PO-2021,AUTO-CLEAR,No,clean,Acme Steel Co,9600,AUTO-CLEAR,No,100,
INV-105,BlueOcean Logistics,8500,PO-2023,AUTO-CLEAR,No,clean,BlueOcean Logistics,8500,AUTO-CLEAR,No,100,
INV-106,Nimbus Software Ltd,4200,PO-2016,AUTO-CLEAR,No,clean,Nimbus Software Ltd,4200,AUTO-CLEAR,No,100,
INV-107,Crestline Office Supplies,1450,PO-2017,AUTO-CLEAR,No,clean,Crestline Office Supplies,1450,AUTO-CLEAR,No,100,
INV-108,Orion Telecom,2100,PO-2001,AUTO-CLEAR,No,clean recurring,Orion Telecom,2100,AUTO-CLEAR,No,100,
INV-109,Pinnacle Consulting,25000,PO-2022,AUTO-CLEAR,No,clean,Pinnacle Consulting,25000,AUTO-CLEAR,No,100,
INV-110,Summit Industrial Supply,9000,PO-2018,AUTO-CLEAR,No,clean,Summit Industrial Supply,9000,AUTO-CLEAR,No,100,
INV-111,Harbor Freight Co,5500,PO-2011,AUTO-CLEAR,No,clean,Harbor Freight Co,5500,AUTO-CLEAR,No,100,
INV-112,Lumen Electric,3200,PO-2012,AUTO-CLEAR,No,clean,Lumen Electric,3200,AUTO-CLEAR,No,100,
INV-113,Apex Print Solutions,2400,PO-2013,AUTO-CLEAR,No,clean,Apex Print Solutions,2400,AUTO-CLEAR,No,100,
INV-114,TitanTech Hardware,7600,PO-2014,AUTO-CLEAR,No,clean,TitanTech Hardware,7600,AUTO-CLEAR,No,100,
INV-115,Coastal Catering,3500,PO-2002,AUTO-CLEAR,No,clean recurring,Coastal Catering,3500,AUTO-CLEAR,No,100,
INV-116,Meridian Legal,18000,PO-2015,AUTO-CLEAR,No,clean,Meridian Legal,18000,AUTO-CLEAR,No,100,
INV-117,Acme Steel Co,6000,PO-2024,AUTO-CLEAR,No,clean,Acme Steel Co,6000,AUTO-CLEAR,No,100,
INV-118,Nimbus Software Ltd,4200,PO-2025,AUTO-CLEAR,No,clean,Nimbus Software Ltd,4200,AUTO-CLEAR,No,100,
INV-119,Greenleaf Landscaping,1800,PO-2003,AUTO-CLEAR,No,clean recurring,Greenleaf Landscaping,1800,AUTO-CLEAR,No,100,
INV-120,Orion Telecom,2100,PO-2001,AUTO-CLEAR,No,clean recurring,Orion Telecom,2100,AUTO-CLEAR,No,100,
INV-121,Summit Industrial Supply,9000,PO-2026,AUTO-CLEAR,No,clean,Summit Industrial Supply,9000,AUTO-CLEAR,No,100,
INV-122,Harbor Freight Co,5500,PO-2027,AUTO-CLEAR,No,clean,Harbor Freight Co,5500,AUTO-CLEAR,No,100,
INV-123,Lumen Electric,3200,PO-2028,AUTO-CLEAR,No,clean,Lumen Electric,3200,AUTO-CLEAR,No,100,
INV-124,Apex Print Solutions,2400,PO-2029,AUTO-CLEAR,No,clean,Apex Print Solutions,2400,AUTO-CLEAR,No,100,
INV-125,TitanTech Hardware,7600,PO-2030,AUTO-CLEAR,No,clean,TitanTech Hardware,7600,AUTO-CLEAR,No,100,
INV-126,Meridian Legal,18000,PO-2031,AUTO-CLEAR,No,clean,Meridian Legal,18000,AUTO-CLEAR,No,100,
INV-127,Crestline Office Supplies,1450,PO-2032,AUTO-CLEAR,No,clean,Crestline Office Supplies,1450,AUTO-CLEAR,No,100,
INV-128,Coastal Catering,3500,PO-2002,AUTO-CLEAR,No,clean recurring,Coastal Catering,3500,AUTO-CLEAR,No,100,
INV-129,Pinnacle Consulting,25000,PO-2033,AUTO-CLEAR,No,clean,Pinnacle Consulting,25000,AUTO-CLEAR,No,100,
INV-130,Greenleaf Landscaping,1800,PO-2003,AUTO-CLEAR,No,clean recurring,Greenleaf Landscaping,1800,AUTO-CLEAR,No,100,
INV-131,Orion Telecom,2100,PO-2001,AUTO-CLEAR,No,clean recurring,Orion Telecom,2100,AUTO-CLEAR,No,100,
INV-132,Acme Steel Co,12000,PO-2034,AUTO-CLEAR,No,clean,Acme Steel Co,12000,AUTO-CLEAR,No,100,
INV-133,BlueOcean Logistics,8500,PO-2035,AUTO-CLEAR,No,clean,BlueOcean Logistics,8500,AUTO-CLEAR,No,100,
INV-134,Nimbus Software Ltd,4200,PO-2036,AUTO-CLEAR,No,clean,Nimbus Software Ltd,4200,AUTO-CLEAR,No,100,
INV-135,Lumen Electric,3200,PO-2037,AUTO-CLEAR,No,clean,Lumen Electric,3200,AUTO-CLEAR,No,100,
INV-136,Pinnacle Consulting,25000,PO-2040,FLAG,Yes,FRAUD: bank account changed,Pinnacle Consulting,25000,FLAG,Yes,100,
INV-137,Nimbus Software Limited,4200,PO-2041,FLAG,Yes,FRAUD: vendor impersonation (name look-alike),Nimbus Software Limited,4200,FLAG,Yes,100,
INV-138,Stellar Office Group,4200,none,FLAG,Yes,"FRAUD: phantom/unknown vendor, no PO",Stellar Office Group,4200,FLAG,Yes,100,
INV-139,Lumen Electric,3200,PO-2012,FLAG,Yes,FRAUD: duplicate of INV-112,Lumen Electric,3200,FLAG,Yes,100,
INV-140,Lumen Electric,11000,none,FLAG,Yes,FRAUD: amount anomaly (3.4x avg) + no PO,Lumen Electric,11000,FLAG,Yes,100,
INV-141,Harbor Freight Co,7400,PO-2011,FLAG,No,ERROR: overbilled vs PO,Harbor Freight Co,7400,FLAG,No,100,
INV-142,Summit Industrial Supply,11700,PO-2018,FLAG,No,ERROR: quantity over PO,Summit Industrial Supply,11700,FLAG,No,100,
INV-143,Apex Print Solutions,4200,PO-2013,FLAG,No,ERROR: total does not foot,Apex Print Solutions,4200,FLAG,No,100,
INV-144,BlueOcean Logistics,8900,PO-2023,FLAG,No,ERROR: tax inflated,BlueOcean Logistics,8900,FLAG,No,100,
INV-145,TitanTech Hardware,7600,PO-9999,FLAG,No,ERROR: PO does not exist,TitanTech Hardware,7600,FLAG,No,100,
INV-146,BlueOcean Logistic,8500,PO-2042,FLAG,Yes,FRAUD: vendor impersonation (missing letter),BlueOcean Logistic,8500,FLAG,Yes,100,
INV-147,Coastal Catering,3500,PO-2002,ESCALATE,No,BLURRED: legit but unreadable scan,Coastal Catering,3500,FLAG,Yes,100,
INV-148,Acme Steel Co,12000,PO-2034,ESCALATE,No,BLURRED: legit but unreadable scan,Acme Steel Co,12000,FLAG,Yes,100,
INV-149,Greenleaf Landscaping,1800,PO-2003,ESCALATE,No,UNUSUAL: handwritten/odd format,Greenleaf Landscaping,1800,AUTO-CLEAR,No,100,
INV-150,Rapid Components Inc,6800,none,FLAG,Yes,FRAUD: phantom vendor on a degraded scan,Rapid Components Inc,6800,FLAG,Yes,100,
